uid,title,aired from,aired to,episodes,members,popularity,ranked,score
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,2017-02-25,2019-03-01,26.0,14326,3747,776.0,7.87
2265,Transformers the Movie,1986-08-09,,1.0,11245,4133,775.0,7.87
11001,Toshokan Sensou: Kakumei no Tsubasa,2012-06-16,,1.0,16716,3495,774.0,7.87
39940,Shokugeki no Souma: Shin no Sara,2019-10-12,2019-12-28,12.0,162213,683,773.0,7.87
322,Paradise Kiss,2005-10-14,2005-12-30,12.0,122787,916,772.0,7.87
38958,Manga de Wakaru! Fate/Grand Order,2018-12-31,,1.0,7545,4889,770.0,7.87
4472,Lucky☆Star: Original na Visual to Animation,2008-09-26,,1.0,105307,1056,769.0,7.87
97,Last Exile,2003-04-08,2003-09-30,26.0,137273,810,768.0,7.87
468,Koukaku Kidoutai 2: Innocence,2004-03-06,,1.0,121133,929,767.0,7.87
7645,Heartcatch Precure!,2010-02-07,2011-01-30,49.0,20414,3162,763.0,7.87
3604,Hidamari Sketch x 365,2008-07-04,2008-09-26,13.0,24921,2855,764.0,7.87
1491,Ginga Tetsudou 999,1978-09-14,1981-04-09,113.0,21402,3080,761.0,7.87
19319,Gundam Build Fighters,2013-10-07,2014-03-31,25.0,50399,1890,762.0,7.87
1571,Ghost Hunt,2006-10-04,2007-03-28,25.0,172769,630,760.0,7.87
35222,Gakuen Babysitters,2018-01-07,2018-03-25,12.0,94090,1171,759.0,7.87
38770,Detective Conan Movie 23: The Fist of Blue Sapphire,2019-04-12,,1.0,8328,4732,758.0,7.87
269,Bleach,2004-10-05,2012-03-27,366.0,1002578,25,757.0,7.87
30123,Akagami no Shirayuki-hime,2015-07-07,2015-09-22,12.0,336418,289,756.0,7.87
32998,91 Days,2016-07-09,2016-10-01,12.0,340857,281,755.0,7.87
202,Wolf's Rain,2003-01-07,2003-07-29,26.0,238834,425,754.0,7.88
5005,Tentai Senshi Sunred,2008-10-03,2009-03-28,26.0,17654,3391,753.0,7.88
18397,Shingeki no Kyojin OVA,2013-12-09,2014-08-08,3.0,222243,480,751.0,7.88
3750,Maria-sama ga Miteru 4th,2009-01-03,2009-03-28,13.0,15994,3569,749.0,7.88
33263,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,2016-10-26,2017-09-27,8.0,61280,1648,748.0,7.88
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,2016-06-24,,1.0,181220,600,747.0,7.88
35860,Karakai Jouzu no Takagi-san,2018-01-08,2018-03-26,12.0,235513,442,746.0,7.88
3092,Junjou Romantica,2008-04-11,2008-06-27,12.0,169037,647,745.0,7.88
