uid,genre_id
40569,20
31670,21
176,1
17223,30
35557,8
7338,0
17357,30
29275,21
31327,32
23581,12
6482,15
22125,32
19613,36
9990,6
31665,27
1266,8
870,8
130,6
2747,18
27509,0
40599,20
18307,0
9367,0
6098,25
34754,34
10528,32
12759,8
37942,20
7106,0
9723,12
6448,0
12835,3
3633,3
498,28
1162,8
900,8
201,7
35180,34
1238,3
9438,1
1372,3
8355,37
516,18
12789,8
36316,9
27417,10
30925,1
23583,34
5680,20
31783,32
37710,20
3605,25
12865,3
6979,16
38106,20
38310,15
266,28
11083,38
10604,3
6531,11
33694,3
1798,3
1536,3
34290,34
11759,28
18321,32
39592,0
261,34
21969,3
34966,24
36119,3
33025,29
24085,29
296,28
33520,8
1094,8
1228,8
35834,19
5039,0
33858,3
33462,3
1432,3
39587,6
12663,30
4824,11
40321,1
39622,0
6573,21
40059,1
32717,34
22657,3
18689,27
21999,3
9528,28
30042,17
37623,0
5372,1
36301,20
16189,11
18241,22
10536,3
2033,4
6568,27
36377,15
30054,27
31289,8
33906,20
21953,8
25939,1
6883,38
37490,6
18195,27
35935,20
14039,0
33755,9
36069,20
8153,13
1568,25
26289,6
3923,37
35912,36
16994,7
36273,15
8491,8
8229,8
33936,20
3100,0
2704,0
31057,8
12461,30
8829,3
8963,3
28283,12
2640,15
4494,11
1184,35
485,34
5228,6
22473,20
36361,20
10934,25
37398,16
1732,25
26319,6
39491,28
30988,29
193,10
31483,8
37474,11
2472,0
2606,0
8993,3
17933,3
39567,23
36793,27
27853,27
5998,8
5258,6
23697,0
37265,22
29822,3
22975,15
33396,25
2997,6
35027,6
31018,29
40453,8
1879,21
9023,3
4991,12
8365,3
33845,36
19817,29
899,0
1033,0
1074,1
375,0
6762,3
6896,3
22609,15
4450,38
18313,8
3027,6
3464,7
31485,30
2171,21
3499,1
18389,3
17731,3
766,6
5656,28
38484,8
2486,32
801,0
32831,0
6792,3
39942,34
12259,6
20855,4
36906,38
18081,8
11799,21
13851,32
18419,3
17895,3
14189,27
38910,8
13927,27
16241,38
10033,0
2650,32
2254,32
872,1
6560,3
39710,34
2726,27
13543,37
12027,6
22097,1
11701,21
37408,33
27785,3
4037,3
32716,26
30140,15
25011,7
1222,6
10979,36
38579,29
960,6
38940,8
6951,9
38416,8
902,1
40136,34
3455,28
33305,17
35182,27
3193,28
576,16
3991,8
419,32
23,32
21329,21
7540,0
157,32
38312,35
39110,15
20473,36
38009,34
932,28
1252,6
990,6
34577,38
37514,28
19429,0
10967,2
309,22
18573,15
23201,37
1346,18
6795,4
12163,28
3223,28
21557,6
2961,28
36447,8
4155,8
31318,0
449,32
31493,1
10280,11
15077,34
13433,3
19383,5
39140,15
30200,15
14949,34
2022,8
962,28
32555,27
36261,3
659,27
2156,8
32951,27
38680,30
1358,28
37981,29
2494,3
2232,3
34262,3
6726,25
28073,15
12851,28
39251,4
35720,29
39490,20
6802,20
36215,8
21867,23
32684,33
39764,0
13859,3
37386,4
36553,3
13201,3
35994,39
992,28
1429,29
33779,7
3743,40
32323,27
1126,28
37765,0
31401,11
2524,3
34292,3
2000,3
3120,34
16890,5
3516,34
18447,37
30458,27
40417,6
1843,19
12223,28
37078,9
39258,20
18523,32
36641,8
1,3
23487,3
8026,0
40056,0
2012,13
37719,5
5427,5
36979,3
19257,27
30831,16
10719,7
34642,8
1156,28
7083,16
24683,29
1954,8
894,28
4705,20
34980,3
19653,0
1535,24
9735,22
35838,34
35442,34
34456,3
37073,15
27737,15
32668,38
2269,19
376,38
293,3
8493,1
427,3
39463,21
1547,34
23121,3
9613,32
22859,3
23979,34
22597,3
1186,28
37027,20
34847,9
39778,32
36765,20
7090,32
28623,0
381,8
23209,8
3534,0
5586,11
61,3
195,3
23285,3
13629,25
5924,6
30967,38
10156,28
16718,32
38688,1
37191,20
6262,1
